@relation EntrenamientoP1ENPR
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
223,429,0,200.811,417.905,0.017,196.586,418,0.083,206.59,417,0.017,215.567,414.608,0.018,231.685,412.368,0.015,250.038,411,0.017,272.504,410,0.017,289.948,409,0.018,312.502,407.389,0.015,334.433,406.142,0.017,355.028,406.103,0.017,375.796,404,0.018,397.114,403,0.015,413.692,403.836,0.016,431.642,402.92,0.017,445.254,405.322,0.018,457.834,404,0.016,466.241,405,0.016,474.222,407.111,0.018,482.18,405.705,0.018,487,407.5,0.017,491,407,0.033,495.156,408.078,0.033,499.536,408,0.051,497.744,412.256,0.018,493,415,0.017,489.513,419.487,0.017,483.048,425.964,0.017,475.084,433.916,0.017,467.605,438.93,0.017,459.119,446.881,0.017,446.241,460.724,0.016,428.351,474.03,0.017,412.389,490.611,0.03,397.827,502.782,0.015,386.285,513.658,0.015,374.078,525.922,0.017,365.277,534.292,0.017,354.624,542.701,0.016,344.326,553.592,0.017,336.343,561.657,0.017,328.364,566.818,0.017,317.036,574.929,0.016,309.3,585.5,0.017,301.581,594.559,0.017,285.899,601.163,0.017,277.477,615.785,0.015,265.746,626.502,0.016,252.405,639.952,0.017,241.17,655.562,0.018,225.726,664.053,0.015,218.435,677.274,0.016,211.711,684.289,0.017,207.311,688.689,0.018,203,690.5,0.033,204.128,690.936,0.034,209,691,0.033,214.08,691,0.057,225.161,691,0.032,242.531,691,0.032,266.759,691,0.018,287.198,690.48,0.016,321.989,689.888,0.017,342.078,691.135,0.016,366.151,693.755,0.016,387.828,694.242,0.015,409.672,694.133,0.017,433.067,695,0.017,456.851,695.35,0.018,474.79,694.599,0.015,488.214,696.843,0.016,497.346,700.173,0.017,502.997,702.332,0.018,508.146,704.573,0.016,512,706.5,0.032,510.785,707,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,3079,ENPR
179,401,0,207,404.5,0.017,222.603,404,0.017,237.272,404,0.016,254.907,406.291,0.018,266,406,0.016,276.905,407.781,0.017,289.149,408,0.017,303.575,408,0.017,314.5,408,0.016,328.536,407,0.016,341.002,406,0.017,352.242,403.752,0.016,365.441,404,0.017,376.404,402,0.017,390.859,401,0.017,402.116,401,0.017,413.324,400,0.017,423.556,399.711,0.016,433.787,400,0.017,444.002,400,0.017,455.245,401,0.017,467.153,402,0.016,481.628,403.938,0.016,493.924,405,0.017,505.128,406,0.017,510.5,408.5,0.049,507.729,411.135,0.035,503,411,0.031,494.614,416.258,0.017,491,419.5,0.015,484.508,426.619,0.018,475.426,433.345,0.017,464.213,439.715,0.013,452.982,445.811,0.015,441.762,454.391,0.016,433.716,462.379,0.017,425.993,469.007,0.018,419.257,473.162,0.015,409.041,478.653,0.016,399.72,485.21,0.017,389.747,493.94,0.018,380.753,499.686,0.016,373.588,505.412,0.016,367.905,511.142,0.017,362.421,517.869,0.018,356.921,525.618,0.017,350.651,531.349,0.022,345.95,536.05,0.016,342.729,541.542,0.008,340.485,546.029,0.017,339.241,551.277,0.017,335.998,557.005,0.017,332.519,561.481,0.019,328.014,565.986,0.017,323.527,572.21,0.017,317.02,580.9,0.017,310.324,589.901,0.017,303.588,598.883,0.016,295.42,610.297,0.016,285.162,621.838,0.016,277.383,632.028,0.017,267.211,641.789,0.017,258.911,653.089,0.018,252.183,659.817,0.015,247.635,666.547,0.017,243.144,671.856,0.017,238.654,677.346,0.016,234.245,682.837,0.017,228.676,685.162,0.017,223.21,689.79,0.017,219.455,693.545,0.017,215.989,698.021,0.032,211.494,702.505,0.033,208.971,706.059,0.05,213.463,703,0.018,217.948,703,0.016,225.88,703,0.016,241.21,703,0.017,260.384,703,0.016,282.513,703,0.017,305.963,701.804,0.016,330.412,703,0.017,352.862,703.686,0.015,372.36,704,0.017,389.374,704,0.016,403.917,703,0.018,418.97,701.338,0.015,432.446,700,0.017,447.06,697.849,0.016,457.953,696.609,0.018,464.924,697,0.015,475.326,697.888,0.017,482.387,698,0.016,487.753,698,0.018,492,699,0.033,495.074,701.037,0.166,0,0,0,0,0,0,0,0,0,193,3681,ENPR
201,408,0,245.617,407.183,0.017,275.805,404.938,0.017,308.271,402.695,0.018,351.142,401,0.017,377.755,400.204,0.016,401.372,399.959,0.017,420.543,400,0.017,436.5,399,0.016,452.396,398,0.017,463.059,398,0.017,472.051,398,0.016,481,398,0.017,489.25,399.75,0.017,495.977,401,0.017,509.663,402.238,0.017,518.449,403,0.038,516.464,407.536,0.018,512.57,410.215,0.033,504.177,411.706,0.018,498.102,413.898,0.017,492.61,417.39,0.017,488.12,425.759,0.017,477.593,437.725,0.016,462.462,447.538,0.007,447.656,465.344,0.017,426.279,479.481,0.017,406.724,499.617,0.016,387.845,516.155,0.017,364.527,537.178,0.017,338.275,563.725,0.017,312.888,584.307,0.014,290.487,602.199,0.026,273.124,624.001,0.011,252.295,637.223,0.018,244.536,655.08,0.015,236.416,665.307,0.016,227.58,676.524,0.017,220.948,685.403,0.018,217.405,689.189,0.015,215.732,692.536,0.05,220.358,693,0.034,225.089,692.97,0.016,235.822,693,0.017,243,692,0.016,251.174,690,0.017,262.207,689,0.016,277.949,687.721,0.032,300,688.5,0.018,316.138,687,0.017,338.377,686.862,0.016,363.976,686,0.019,387.123,685.625,0.016,408.97,685,0.016,430.917,686,0.016,447.888,687.361,0.019,461.406,688.602,0.015,473.242,689,0.025,483.362,690,0.016,488.667,691,0.014,493.806,692.269,0.032,497.13,693,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2423,ENPR
187,396,0,219.928,399.847,0.016,230.531,401,0.02,239.343,402,0.016,251.334,404,0.014,263.857,404,0.02,277.476,405,0.014,290.123,406.354,0.02,308.105,405.414,0.014,325.114,405,0.017,341.304,403.957,0.015,354.043,404,0.016,367.847,403,0.016,378.802,402,0.014,392.393,401,0.022,403.614,401,0.015,417.5,400,0.021,431.801,401,0.015,444.138,401,0.019,456.182,402.236,0.015,465.218,402,0.015,474.734,402,0.02,483.875,403,0.014,489.743,404,0.022,493.927,404,0.015,498,405.5,0.03,500.091,408.182,0.05,494.458,411.271,0.037,491.728,415.544,0.015,487.407,421.39,0.017,480.78,429.22,0.013,470.45,438.55,0.021,457.863,447.137,0.021,438.366,465.107,0.013,419.638,479.272,0.023,401.177,494.563,0.013,388.763,505.158,0.017,374.89,517.442,0.017,365.867,531.2,0.014,355.635,539.092,0.021,344.04,552.94,0.014,335.1,563.9,0.015,323.082,573.932,0.015,309.83,588.404,0.021,301.237,597.322,0.013,287.634,609.366,0.019,278.198,621.753,0.014,269.159,629.631,0.015,257.176,641.824,0.018,248.255,653.745,0.018,239.17,661.83,0.016,227.73,672.059,0.021,221.164,679.254,0.019,215.042,685.958,0.012,209.233,689.844,0.022,205.718,694.282,0.01,202.577,698.847,0.018,200,703.263,0.011,200,706.01,0.034,205.673,704.776,0.035,211,705,0.028,218.814,703.729,0.022,225.377,705,0.013,233.929,705,0.016,242.944,705.986,0.016,255.102,706,0.019,267.323,707,0.012,278.518,707.704,0.017,290.592,707,0.02,304.167,708.195,0.015,316.332,707,0.019,330.737,706,0.017,343.546,704.091,0.013,357.033,704,0.016,369.071,703,0.018,378.641,702.34,0.016,389.521,702,0.013,398.461,702,0.015,406.226,700.591,0.014,417.174,699.365,0.016,427.399,699,0.017,435.385,698,0.015,442.146,695.236,0.015,452.796,697,0.02,459.567,697.856,0.012,465.222,698,0.017,471.066,699.355,0.022,475.14,699.57,0.013,479.683,700,0.017,482.063,701.032,0.018,486.357,704.357,0.068,492.301,706.151,0.031,496.355,708,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,3664,ENPR
197,402,0,237.071,405,0.017,264.004,406,0.017,289.912,405,0.016,327.332,406.491,0.017,343.879,407,0.017,364.779,408.978,0.017,381.545,410.221,0.016,402.757,410,0.016,422.114,411,0.016,441.658,410.957,0.017,459.337,409.809,0.017,476.136,410,0.016,489.756,410,0.017,500.656,410,0.015,509.719,411,0.016,514.537,412.268,0.05,508.944,414.019,0.018,504.452,416.274,0.018,499,417,0.017,494.467,420.533,0.017,491.989,424.016,0.016,488.749,427.503,0.017,482.508,434.492,0.017,476.025,440.487,0.017,467.036,446.952,0.017,459.306,459.157,0.016,446.139,473.861,0.011,425.239,489.482,0.014,404.353,504.78,0.015,384.12,524.089,0.017,365.819,537.726,0.017,345.385,554.913,0.017,327.495,566.78,0.017,310.066,583.682,0.016,294.957,597.608,0.016,279.283,609.435,0.016,266.489,623.511,0.017,253.17,629.498,0.017,245.772,642.047,0.016,237.026,651.633,0.015,228.288,656.808,0.017,221.563,662.437,0.017,218.609,670.562,0.017,212.105,679.158,0.015,205.368,686.632,0.017,198.637,690.242,0.017,194.27,694.73,0.018,192.39,703.219,0.015,190.5,707,0.065,195.537,706,0.033,201,704.5,0.017,207.59,705,0.016,213.332,705,0.022,224.43,704,0.013,240.463,701.134,0.033,271.266,697.406,0.02,296.05,693.458,0.008,324.208,692,0.015,348.31,689.969,0.017,374.712,690,0.017,399.65,689,0.016,419.636,688.236,0.013,438.068,689,0.017,457.015,689,0.018,469.476,689,0.018,480.233,690.744,0.018,486.964,691.988,0.017,491.454,694.227,0.019,496.43,695,0.016,501,698,0.033,503.044,700.088,0.032,498.085,697.085,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2675,ENPR
188,405,0,226.274,401.477,0.016,251.402,397.472,0.014,277.114,392.979,0.013,318.43,388.441,0.022,338.272,389,0.015,361.428,392,0.018,383.129,394.013,0.022,403.11,395,0.018,420.995,397.499,0.014,437.436,398.739,0.016,448.977,400.994,0.012,460.21,404.242,0.024,467.398,407.466,0.015,474.126,409,0.016,478.938,410,0.016,484.629,410,0.015,491.407,410,0.034,494.176,413.352,0.05,494.823,416.354,0.032,488.651,421.174,0.011,484.169,424.415,0.022,477.103,429.265,0.015,470.35,433.767,0.015,463.563,439.291,0.022,455.154,444.108,0.013,441.564,453.169,0.017,431.54,462.325,0.017,420.465,471.428,0.01,403.412,479.849,0.017,391.201,492.6,0.013,373.01,504.278,0.019,353.911,519.872,0.021,335.469,533.898,0.015,314.041,549.325,0.007,297.229,565.232,0.019,279.57,580.687,0.017,265.002,595.998,0.017,251.5,606,0.032,239.187,623.813,0.016,230.247,629.376,0.016,224.564,638.744,0.019,218.632,648.737,0.013,213.15,655.85,0.017,207.659,661.511,0.017,203.171,666.829,0.017,198.342,673.972,0.016,195.096,679.712,0.017,192.855,683.218,0.034,189.5,688,0.032,187.732,691.536,0.018,189.134,695.268,0.034,194.968,694,0.017,202.676,695,0.017,210.415,694,0.017,218.575,692,0.016,233.652,691,0.017,255.057,690,0.035,301.577,689,0.018,334.275,688,0.017,370.013,688,0.016,399.318,689.308,0.018,423.055,690,0.016,443.148,690,0.017,458.223,689,0.017,471.695,688,0.017,488,687,0.016,496.313,686,0.018,500,687.5,0.017,503.515,689.257,0.049,502.896,690.052,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,2840,ENPR
191,406,0,217.273,403.525,0.017,227.583,401.283,0.017,238.818,399.036,0.016,256.069,398,0.016,265.261,397,0.017,274.774,397,0.016,283.755,397,0.017,291.729,398,0.017,302.134,398,0.016,310.022,397,0.015,317.65,397,0.017,326.813,398,0.017,335.61,399,0.017,343.934,400,0.01,353.433,401.887,0.017,364.553,403,0.017,374.918,402.616,0.017,384.761,404,0.016,395.494,404,0.019,403.358,404,0.013,411.089,404,0.018,420.431,405,0.016,429.414,405,0.057,447.729,405.346,0.013,456.346,405,0.016,464.498,405,0.017,470.148,405,0.016,479.58,405,0.018,484.128,404,0.017,488.616,404,0.017,493.103,403,0.033,498.839,403,0.032,503,402.5,0.032,507.154,404.077,0.049,503.464,408.536,0.033,495.738,412.131,0.017,492.625,415.749,0.018,489.383,419.233,0.016,485.273,422.727,0.017,478.68,428.213,0.017,469.6,434.05,0.018,460.027,440.784,0.016,447.955,448.363,0.017,434.579,460.421,0.016,423.352,470.318,0.018,412.5,476.5,0.016,398.908,489.092,0.017,387.744,500.32,0.016,374.465,505.921,0.017,366.5,519,0.017,353.415,530.192,0.017,342.835,539.206,0.017,333.861,552.708,0.017,322.5,564.5,0.017,310.678,578.191,0.017,300.906,594.113,0.017,285.903,605.311,0.017,280,620,0.017,269.233,628.014,0.017,257.01,638.992,0.017,248.031,651.211,0.017,239.06,659.94,0.017,228.63,670.37,0.017,220.079,680.895,0.017,211.131,688.651,0.016,203.619,694.381,0.017,198,700.118,0.018,196.051,704.898,0.017,194.904,707.193,0.032,198.616,709.192,0.018,205.155,707.948,0.016,212.885,706.705,0.017,222.5,704,0.022,240.619,701.433,0.016,270.436,697.942,0.017,306.959,693.449,0.016,349.5,689.5,0.017,388.44,688,0.016,408.046,689,0.017,422.484,692.247,0.017,433.476,693,0.016,443.45,691.742,0.017,455.92,691,0.017,466.147,690,0.017,484.255,689,0.016,493.881,688,0.017,505.781,688.964,0.017,514.818,689,0.017,522.348,690,0.016,527.091,691,0.016,532.829,691,0.017,539.461,694.307,0.033,541,697.358,0.018,539,701.318,0.016,534.472,704.528,0.033,0,0,0,0,0,0,0,0,0,0,0,0,192,3657,ENPR
186,404,0,218.677,405,0.016,241.089,404.191,0.016,266.642,399.893,0.017,309.422,394.109,0.018,336.05,393.458,0.017,367.027,394,0.017,397.462,395,0.017,422.041,397.276,0.018,443.5,399.5,0.017,461.364,401,0.017,476.074,403,0.017,486.016,405.254,0.018,490.993,407.496,0.032,494.537,409.269,0.018,498.467,410,0.033,503.805,411,0.034,509,412,0.017,510,414.457,0.066,507.934,417.033,0.033,503.464,422.536,0.018,498.4,426.8,0.017,492.909,432.091,0.017,484.845,438.866,0.018,469.5,445.5,0.016,445.671,462.442,0.015,425.801,475.125,0.016,404.317,491.146,0.017,389.5,503.5,0.017,374.228,516.281,0.015,361.983,530.012,0.017,345.034,538.983,0.017,332.084,552.916,0.017,311.881,564.925,0.017,298.169,576.855,0.018,282.673,591.327,0.017,271.662,602.338,0.017,256.74,617.26,0.016,244.268,628.821,0.016,230.807,643.193,0.017,218.779,655.221,0.016,210.244,662.756,0.016,203.201,670.732,0.017,196.648,678.529,0.017,193.463,683.805,0.034,194,687.079,0.05,200.3,688,0.018,206.032,688,0.016,212.771,686.743,0.016,221.985,685.504,0.017,236.937,685,0.017,256.901,684,0.016,285.778,683,0.016,319.63,683,0.017,350.14,684.724,0.017,383.546,686.968,0.017,414.526,687,0.016,445.452,685.546,0.016,466.598,686.3,0.017,485.615,686,0.017,498.93,685,0.016,510.155,686.431,0.015,512.179,688.358,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,2529,ENPR
194,404,0,236.603,399.64,0.017,259.364,400,0.017,280.483,402,0.017,291.393,401,0.017,305.314,401,0.016,317.779,401,0.016,331,402.5,0.037,350.247,404.049,0.022,372.989,406,0.016,386.145,407,0.017,397.188,407,0.018,408.294,407,0.017,421.381,407,0.016,434.985,405.504,0.017,444.453,406.863,0.017,454.459,406,0.017,461.193,405,0.015,468.126,403.958,0.017,478,404,0.032,486.309,403,0.035,493.358,403,0.05,488.464,409.536,0.041,482.463,413.268,0.017,472.763,420.119,0.017,466.463,426.806,0.017,461.024,433.952,0.017,454.311,439.345,0.018,448.581,444.419,0.017,438.696,452.228,0.016,430.68,459.88,0.017,422.569,469.62,0.017,412.485,474.172,0.017,404.5,482.5,0.017,397.184,489.816,0.017,390.451,497.549,0.016,383.076,502,0.016,374.981,507.013,0.017,370.623,515.132,0.018,364.517,523.225,0.016,357.778,531.222,0.016,347.573,535.476,0.017,341.155,546.38,0.015,332.373,559.045,0.017,322.129,565.574,0.015,313.055,576.78,0.017,305.38,589.239,0.018,294.966,597.356,0.011,284.955,608.182,0.017,277.176,619.237,0.016,268.672,626.776,0.017,258.425,635.288,0.017,251.979,647.532,0.017,245.245,654.755,0.017,237.518,660.482,0.017,230.168,668.832,0.015,223.044,677.934,0.016,217.311,684.689,0.018,211.164,691.673,0.017,203.514,699.486,0.034,198.981,706.038,0.033,208.828,706.086,0.018,217.786,706,0.017,225.779,703.11,0.015,236.768,699.744,0.016,250.872,700.624,0.016,265.941,700.012,0.017,282.444,699,0.019,297.632,697.274,0.017,311.37,697,0.016,321.364,698.455,0.017,334.299,698,0.016,344.577,698,0.017,359.239,697,0.016,372.707,697.927,0.017,386.477,699.295,0.017,399.978,699,0.015,410.087,700,0.016,421.591,699.602,0.018,431.518,700,0.013,441.375,701,0.017,452.981,701.495,0.02,465.934,702,0.018,483.891,702.473,0.011,495.515,702.839,0.026,510.536,705.268,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,5106,ENPR
194,396,0,252.181,395,0.017,284.443,397.317,0.018,316.891,401.564,0.017,362.956,407.62,0.016,395.858,410.054,0.017,427.453,411.297,0.018,456.5,411,0.017,481.219,412,0.017,502.31,412,0.017,519.646,412,0.017,526.5,412,0.015,530.536,413,0.034,524.627,410.814,0.018,519.514,409,0.018,513.773,410,0.018,507.946,412.351,0.018,496.803,417.398,0.015,481.273,429.045,0.017,462.245,441.336,0.016,440.337,456.664,0.018,423.55,471.3,0.016,407.088,487.187,0.017,392.555,503.382,0.017,374.212,522.098,0.018,353.37,540.525,0.017,328.406,563.196,0.018,303.654,584.476,0.017,278.107,602.025,0.017,260.5,622.5,0.016,248.898,634.428,0.016,238.908,651.184,0.017,225.129,659.802,0.017,218.5,675.5,0.017,208.241,687.008,0.017,198.009,693.995,0.017,194,705.441,0.017,189.028,713.944,0.016,186.5,718.5,0.033,189.279,716.814,0.033,195.494,713.169,0.017,202.222,706.778,0.016,212.613,703.677,0.018,218.692,704,0.016,226.233,703,0.017,238.334,701.944,0.016,251.789,701,0.017,269.5,699.5,0.016,285.485,701,0.017,305.28,702.031,0.017,327.75,702,0.017,353.5,703.5,0.018,383.699,702,0.017,411.094,702,0.016,437.742,701,0.017,459.43,699.508,0.016,469.952,702,0.017,476.958,703.986,0.017,480.341,704,0.019,485.805,704,0.033,490,704,0.017,494.3,703,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2421,ENPR
